[a, b] = [0, 2]
h = 0.1 
 
  n            x1            v1            x2            v2
  1      1.200000      0.000000      0.000000     -0.800000
  2      1.193328     -0.132444     -0.079447     -0.783574
  3      1.173871     -0.254384     -0.155741     -0.738041
  4      1.142961     -0.361195     -0.226321     -0.670386
  5      1.102150     -0.452481     -0.289255     -0.585729
  6      1.052962     -0.528822     -0.342992     -0.486790
  7      0.996871     -0.590577     -0.386184     -0.374968
  8      0.935329     -0.637868     -0.417583     -0.251030
  9      0.869775     -0.670856     -0.435998     -0.115319
 10      0.801618     -0.690097     -0.440249      0.032321
 11      0.732170     -0.697012     -0.429106      0.192823
 12      0.662527     -0.694743     -0.401185      0.368389
 13      0.593316     -0.689950     -0.354787      0.563305
 14      0.524162     -0.697205     -0.287632      0.785107
 15      0.452396     -0.751163     -0.196488      1.045096
 16      0.369515     -0.945091     -0.077100      1.347192
 17      0.250448     -1.543048      0.071055      1.557780
 18      0.042252     -2.556492      0.199092      0.715122
 19     -0.197946     -2.073999      0.199899     -0.515552
 20     -0.371054     -1.446862      0.135550     -0.673411
 21     -0.496993     -1.107211      0.073956     -0.541870

 
